DWD classification (ftp structure),,,,,temporal,attribute group,attribute,attribute-comment,aggregation,spatial-aggregation,spatial,unit,temporal-start,temporal-end,prediction,format,compressed,machine-readable,url,url-comment,recent & historical,now,comment
climate_environment,cdc,observations_global,CLIMAT,qc,monthly,temperature air,air temperature,,mean daily min,,Station,°C,1961,2020,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/monthly/qc/air_temperature_mean_of_daily_min/historical/01001_192109_201412.txt,STATIONID_STARTDATE_ENDDATE.txt,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/help/stations_list_CLIMAT_data.txt"
climate_environment,cdc,observations_global,CLIMAT,qc,monthly,pressure,sea level pressure,,mean,,Station,hPa,1961,2020,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/monthly/qc/mean_sea_level_pressure/historical/01001_195101_201412.txt,STATIONID_STARTDATE_ENDDATE.txt,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/help/stations_list_CLIMAT_data.txt"
climate_environment,cdc,observations_global,CLIMAT,qc,monthly,precipitation,precipitation >=1mm days,,count,,Station,days,1961,2020,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/monthly/qc/precipGE1mm_days/recent/01001_201401_201812.txt,STATIONID_STARTDATE_ENDDATE.txt,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/help/stations_list_CLIMAT_data.txt"
climate_environment,cdc,observations_global,CLIMAT,qc,monthly,precipitation,precipitation,,sum,,Station,mm,1961,2020,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/monthly/qc/precipitation_total/recent/01001_201401_201812.txt,STATIONID_STARTDATE_ENDDATE.txt,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/help/stations_list_CLIMAT_data.txt"
climate_environment,cdc,observations_global,CLIMAT,qc,monthly,sunshine,sunshine duration,,sum,,Station,hours,1961,2020,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/monthly/qc/sunshine_duration/recent/97790_201801_202002.txt,STATIONID_STARTDATE_ENDDATE.txt,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/help/stations_list_CLIMAT_data.txt"
climate_environment,cdc,observations_global,CLIMAT,qc,monthly,pressure,vapour pressure,,mean,,Station,hPa,1961,2020,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/monthly/qc/vapour_pressure/recent/01001_201401_201812.txt,STATIONID_STARTDATE_ENDDATE.txt,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/help/stations_list_CLIMAT_data.txt"
climate_environment,cdc,observations_global,CLIMAT,raw,monthly,collection,collection,,,,Station,,2003-03,2020-05,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/monthly/raw/CLIMAT_RAW_200303.txt,YYYYMM,,,"columns see: https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/monthly/raw/BESCHREIBUNG_obsglobal_monthly_raw_de.pdf, station table: https://opendata.dwd.de/climate_environment/CDC/help/stations_list_CLIMAT_data.txt"
climate_environment,cdc,observations_global,CLIMAT,raw,multi-annual,temperature air,air temperature,,mean,,Station,°C,1961,1990,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/multi_annual/air_temperature_mean/1961_1990.txt,,,,
climate_environment,cdc,observations_global,CLIMAT,raw,multi-annual,temperature air,air temperature,,mean daily max,,Station,°C,1961,1990,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/multi_annual/air_temperature_mean_of_daily_max/1961_1990.txt,,,,
climate_environment,cdc,observations_global,CLIMAT,raw,multi-annual,temperature air,air temperature,,mean daily min,,Station,°C,1961,1990,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/multi_annual/air_temperature_mean_of_daily_min/1961_1990.txt,,,,
