DWD classification (ftp structure),,,,,temporal,attribute group,attribute,attribute-comment,aggregation,spatial-aggregation,spatial,unit,temporal-start,temporal-end,prediction,format,compressed,machine-readable,url,url-comment,recent & historical,now,comment
climate_environment,cdc,observations_germany,climate,,multi-annual,days - hot,hot days,,count,,Station,days,1961,1990,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/multi_annual/mean_61-90/Heissetage_1961-1990_festerStandort.txt,,,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/multi_annual/mean_61-90/Heissetage_1961-1990_Stationsliste_festerStandort.txt"
climate_environment,cdc,observations_germany,climate,,multi-annual,precipitation,precipitation,,sum,,Station,mm,1961,1990,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/multi_annual/mean_61-90/Niederschlag_1961-1990_festerStandort.txt,,,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/multi_annual/mean_61-90/Niederschlag_1961-1990_Stationsliste_festerStandort.txt"
climate_environment,cdc,observations_germany,climate,,multi-annual,days - summer,summer days,,count,,Station,days,1961,1990,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/multi_annual/mean_61-90/Sommertage_1961-1990_festerStandort.txt,,,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/multi_annual/mean_61-90/Sommertage_1961-1990_Stationsliste_festerStandort.txt"
climate_environment,cdc,observations_germany,climate,,multi-annual,sunshine,sunshine duration,,sum,,Station,hours,1961,1990,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/multi_annual/mean_61-90/Sonnenscheindauer_1961-1990_festerStandort.txt,,,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/multi_annual/mean_61-90/Sonnenscheindauer_1961-1990_Stationsliste_festerStandort.txt"
climate_environment,cdc,observations_germany,climate,,multi-annual,temperature air,air temperature,,mean,,Station,°C,1961,1990,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/multi_annual/mean_61-90/Temperatur_1961-1990_festerStandort.txt,,,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/multi_annual/mean_61-90/Temperatur_1961-1990_Stationsliste_festerStandort.txt"
climate_environment,cdc,observations_germany,climate,,multi-annual,days - ice,ice days,,count,,Station,days,1971,2000,,csv,,TRUE,,,,,
climate_environment,cdc,observations_germany,climate,,multi-annual,days - frost,frost days,,count,,Station,days,1971,2000,,csv,,TRUE,,,,,
climate_environment,cdc,observations_germany,climate,,multi-annual,days - hot,hot days,,count,,Station,days,1971,2000,,csv,,TRUE,,,,,
climate_environment,cdc,observations_germany,climate,,multi-annual,precipitation,precipitation,,sum,,Station,mm,1971,2000,,csv,,TRUE,,,,,
climate_environment,cdc,observations_germany,climate,,multi-annual,days - summer,summer days,,count,,Station,days,1971,2000,,csv,,TRUE,,,,,
climate_environment,cdc,observations_germany,climate,,multi-annual,sunshine,sunshine duration,,sum,,Station,hours,1971,2000,,csv,,TRUE,,,,,
climate_environment,cdc,observations_germany,climate,,multi-annual,temperature air,air temperature,,mean,,Station,°C,1971,2000,,csv,,TRUE,,,,,
climate_environment,cdc,observations_germany,climate,,multi-annual,days - ice,ice days,,count,,Station,days,1981,2010,,csv,,TRUE,,,,,
climate_environment,cdc,observations_germany,climate,,multi-annual,days - frost,frost days,,count,,Station,days,1981,2010,,csv,,TRUE,,,,,
climate_environment,cdc,observations_germany,climate,,multi-annual,days - hot,hot days,,count,,Station,days,1981,2010,,csv,,TRUE,,,,,
climate_environment,cdc,observations_germany,climate,,multi-annual,precipitation,precipitation,,sum,,Station,mm,1981,2010,,csv,,TRUE,,,,,
climate_environment,cdc,observations_germany,climate,,multi-annual,days - summer,summer days,,count,,Station,days,1981,2010,,csv,,TRUE,,,,,
climate_environment,cdc,observations_germany,climate,,multi-annual,sunshine,sunshine duration,,sum,,Station,hours,1981,2010,,csv,,TRUE,,,,,
climate_environment,cdc,observations_germany,climate,,multi-annual,temperature air,air temperature,,mean,,Station,°C,1981,2010,,csv,,TRUE,,,,,
climate_environment,cdc,observations_germany,climate,,sub-daily,temperature air,air temperature,,mean,,Station,°C,1891,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/air_temperature/historical/terminwerte_TU_00001_19370101_19860630_hist.zip,,TRUE,,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/air_temperature/historical/TU_Terminwerte_Beschreibung_Stationen.txt
climate_environment,cdc,observations_germany,climate,,sub-daily,clouds,cloudiness,,,,Station,,,,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/cloudiness/historical/terminwerte_N_00001_19370101_19860630_hist.zip,,TRUE,,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/cloudiness/historical/N_Terminwerte_Beschreibung_Stationen.txt
climate_environment,cdc,observations_germany,climate,,sub-daily,moisture air,moisture,,,,Station,,,,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/moisture/historical/terminwerte_TF_00001_19550801_19860630_hist.zip,,TRUE,,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/moisture/historical/TF_Terminwerte_Beschreibung_Stationen.txt
climate_environment,cdc,observations_germany,climate,,sub-daily,pressure,pressure,,,,Station,,,,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/pressure/historical/terminwerte_PP_00003_19040101_20110331_hist.zip,,TRUE,,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/pressure/historical/PP_Terminwerte_Beschreibung_Stationen.txt
climate_environment,cdc,observations_germany,climate,,sub-daily,unknown,soil,,,,Station,,1937,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/soil/historical/terminwerte_EK_00001_19370101_19860630_hist.zip,,TRUE,,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/soil/historical/EK_Terminwerte_Beschreibung_Stationen.txt
climate_environment,cdc,observations_germany,climate,,sub-daily,collection,standard format,,,,Station,,,,,csv,TRUE,,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/standard_format/kl_10007_00_akt.txt,,TRUE,,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/standard_format/KL_Standardformate_Beschreibung_Stationen.txt
climate_environment,cdc,observations_germany,climate,,sub-daily,visibility,visibility,,,,Station,,,,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/visibility/historical/terminwerte_VK_00001_19370101_19860630_hist.zip,,TRUE,,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/visibility/historical/VK_Terminwerte_Beschreibung_Stationen.txt
climate_environment,cdc,observations_germany,climate,,sub-daily,wind,wind,,,,Station,,,,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/wind/historical/terminwerte_FK_00001_19370101_19860630_hist.zip,,TRUE,,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/subdaily/wind/historical/FK_Terminwerte_Beschreibung_Stationen.txt
climate_environment,cdc,grids_germany,,,hourly,precipitation,percipitation (radolan),,sum,,"Grid, Germany",mm,2005,2020,,"asc,bin",TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/grids_germany/hourly/radolan/historical/asc/2019/RW-201901.tar,,TRUE,,
climate_environment,cdc,grids_germany,Project_TRY,,hourly,temperature air,air temperature,,mean,,"Grid, Germany",,1995,2012,,,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,hourly,clouds,cloud cover,,,,"Grid, Germany",,1995,2012,,,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,hourly,dew point,dew point,,,,"Grid, Germany",,1995,2012,,,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,hourly,moisture air,humidity,,,,"Grid, Germany",,1995,2012,,,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,hourly,pressure,pressure,,,,"Grid, Germany",,1995,2012,,,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,hourly,radiation,radiation direct,,,,"Grid, Germany",,1995,2012,,,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,hourly,radiation,radiation downwelling,,,,"Grid, Germany",,1995,2012,,,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,hourly,radiation,radiation global,,,,"Grid, Germany",,1995,2012,,,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,hourly,radiation,radiation upwelling,,,,"Grid, Germany",,1995,2012,,,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,hourly,pressure,vapor pressure,,,,"Grid, Germany",,1995,2012,,,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,hourly,wind,wind direction,,,,"Grid, Germany",,1995,2012,,,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,hourly,wind,wind speed,,,,"Grid, Germany",,1995,2012,,,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,temperature air,air temperature,,max,,"Grid, Germany",,1901,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,temperature air,air temperature,,mean,,"Grid, Germany",,1881,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,temperature air,air temperature,,min,,"Grid, Germany",,1901,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,drought index,drought index,,,,"Grid, Germany",,1970,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,evaporation,evaporation p,,,,"Grid, Germany",,1991,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,evaporation,evaporation r,,,,"Grid, Germany",,1991,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,frost depth,frost depth,,,,"Grid, Germany",,2010,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,precipitation,precipitation,,,,"Grid, Germany",,1881,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,radiation,radiation diffuse,,,,"Grid, Germany",,2015,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,radiation,radiation direct,,,,"Grid, Germany",,2015,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,radiation,radiation global,,,,"Grid, Germany",,1991,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,unknown,regnie,,,,"Grid, Germany",,1931,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,moisture soil,soil moist,,,,"Grid, Germany",,1991,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,temperature soil,soil temperature 5cm,,,,"Grid, Germany",,1991,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,monthly,sunshine,sunshine duration,,,,"Grid, Germany",,1951,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,monthly,temperature air,air temperature,,mean,,"Grid, Germany",,1995,2012,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,monthly,clouds,cloud cover,,,,"Grid, Germany",,1995,2012,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,monthly,dew point,dew point,,,,"Grid, Germany",,1995,2012,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,monthly,moisture air,humidity,,,,"Grid, Germany",,1995,2012,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,monthly,pressure,pressure,,,,"Grid, Germany",,1995,2012,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,monthly,radiation,radiation direct,,,,"Grid, Germany",,1995,2012,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,monthly,radiation,radiation downwelling,,,,"Grid, Germany",,1995,2012,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,monthly,radiation,radiation global,,,,"Grid, Germany",,1995,2012,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,monthly,radiation,radiation upwelling,,,,"Grid, Germany",,1995,2012,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,monthly,pressure,vapor pressure,,,,"Grid, Germany",,1995,2012,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,monthly,wind,wind direction,,,,"Grid, Germany",,1995,2012,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,Project_TRY,,monthly,wind,wind speed,,,,"Grid, Germany",,1995,2012,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,temperature air,air temperature,,max,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,temperature air,air temperature,,mean,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,temperature air,air temperature,,min,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,drought index,drought index,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,erosivity,erosivity,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,evaporation,evaporation p,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,evaporation,evaporation r,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,days - frost,frost days,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,days - hot,hot days,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,days - ice,ice days,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,precipitation,precipitation - 10mm - days,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,precipitation,precipitation - 20mm - days,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,precipitation,precipitation - 30mm - days,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,precipitation,precipitation,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,radiation,radiation global,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,unknown,regnie,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,days - snowcover,snowcover days,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,moisture soil,soil moist,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,temperature soil,soil temperature 5cm,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,days - summer,summer days,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,sunshine,sunshine duration,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,vegetation,vegetation begin,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,vegetation,vegetation end,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,water balance,water balance,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,multi-annual,wind,wind parameters,,,,"Grid, Germany",,1961,2010,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,seasonal,temperature air,air temperature,,max,,"Grid, Germany",,1901,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,seasonal,temperature air,air temperature,,mean,,"Grid, Germany",,1881,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,seasonal,temperature air,air temperature,,min,,"Grid, Germany",,1901,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,seasonal,drought index,drought index,,,,"Grid, Germany",,2001,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,seasonal,precipitation,precipitation,,,,"Grid, Germany",,1881,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,seasonal,sunshine,sunshine duration,,,,"Grid, Germany",,1951,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,temperature air,air temperature,,max,,"Grid, Germany",,1901,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,temperature air,air temperature,,mean,,"Grid, Germany",,1881,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,temperature air,air temperature,,min,,"Grid, Germany",,1901,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,drought index,drought index,,,,"Grid, Germany",,1995,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,erosivity,erosivity,,,,"Grid, Germany",,2017,2017,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,days - frost,frost days,,,,"Grid, Germany",,1951,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,days - hot,hot days,,,,"Grid, Germany",,1951,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,days - ice,ice days,,,,"Grid, Germany",,1951,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,phenology,phenology,,,,"Grid, Germany",,1992,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,precipitation,precipitation - 10mm - days,,,,"Grid, Germany",,1951,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,precipitation,precipitation - 20mm - days,,,,"Grid, Germany",,1951,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,precipitation,precipitation - 30mm - days,,,,"Grid, Germany",,1951,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,precipitation,precipitation,,,,"Grid, Germany",,1881,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,radiation,radiation diffuse,,,,"Grid, Germany",,2016,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,radiation,radiation direct,,,,"Grid, Germany",,2016,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,radiation,radiation global,,,,"Grid, Germany",,1991,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,days - snowcover,snowcover days,,,,"Grid, Germany",,1951,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,sunshine,sunshine duration,,,,"Grid, Germany",,1951,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,vegetation,vegetation begin,,,,"Grid, Germany",,1992,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,,,annual,vegetation,vegetation end,,,,"Grid, Germany",,1992,2019,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,18_NDJFMA,,half-year,precipitation,precipitation,,,,"Grid, Germany",mm,1881,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_germany,19_MJJASO,,half-year,precipitation,precipitation,,,,"Grid, Germany",mm,1881,2020,,asc,TRUE,TRUE,,,,,
climate_environment,cdc,observations_germany,radiosondes,high_resolution,30 seconds,collection,radio sensor,,,,Station,,1990,2019,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/radiosondes/high_resolution/historical/1990/sekundenwerte_aero_01303_19900107_19901231_hist.zip,,TRUE,,https://opendata.dwd.de/climate_environment/CDC/observations_germany/radiosondes/high_resolution/historical/1990/sec_aero_Beschreibung_Stationen.txt
climate_environment,cdc,observations_germany,phenology,annual_reporters,dates,vegetation,crops,,,,Station,plant and growing phase,1951,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/phenology/annual_reporters/crops/historical/PH_Jahresmelder_Landwirtschaft_Kulturpflanze_Dauergruenland_1936_2018_hist.txt,,TRUE,,https://opendata.dwd.de/climate_environment/CDC/observations_germany/phenology/annual_reporters/crops/historical/PH_Beschreibung_Phaenologie_Stationen_Jahresmelder.txt
climate_environment,cdc,observations_germany,phenology,annual_reporters,dates,vegetation,farming,,,,Station,plant and growing phase,1951,1991,,csv,TRUE,TRUE,,,TRUE,,
climate_environment,cdc,observations_germany,phenology,annual_reporters,dates,vegetation,fruit,,,,Station,plant and growing phase,1951,2020,,csv,TRUE,TRUE,,,TRUE,,
climate_environment,cdc,observations_germany,phenology,annual_reporters,dates,vegetation,vine,,,,Station,plant and growing phase,1951,2020,,csv,TRUE,TRUE,,,TRUE,,
climate_environment,cdc,observations_germany,phenology,annual_reporters,dates,vegetation,wild,,,,Station,plant and growing phase,1951,2020,,csv,TRUE,TRUE,,,TRUE,,
climate_environment,cdc,observations_germany,phenology,immediate_reports,dates,vegetation,crops,,,,Station,plant and growing phase,1979,2020,,csv,TRUE,TRUE,,,TRUE,,
climate_environment,cdc,observations_germany,phenology,immediate_reports,dates,vegetation,fruit,,,,Station,plant and growing phase,1979,2020,,csv,TRUE,TRUE,,,TRUE,,
climate_environment,cdc,observations_germany,phenology,immediate_reports,dates,vegetation,vine,,,,Station,plant and growing phase,1980,2018,,csv,TRUE,TRUE,,,TRUE,,
climate_environment,cdc,observations_germany,phenology,immediate_reports,dates,vegetation,wild,,,,Station,plant and growing phase,1979,2020,,csv,TRUE,TRUE,,,TRUE,,
climate_environment,cdc,observations_germany,climate_urban,recent,hourly,temperature air,air temperature,,,,Station,collection,2015,2020,,csv,TRUE,TRUE,,,,,
climate_environment,cdc,observations_germany,climate_urban,recent,hourly,precipitation,precipitation,,,,Station,mm,2015,2020,,csv,TRUE,TRUE,,,,,
climate_environment,cdc,observations_germany,climate_urban,recent,hourly,pressure,pressure,,,,Station,hPA,2015,2020,,csv,TRUE,TRUE,,,,,
climate_environment,cdc,observations_germany,climate_urban,recent,hourly,temperature soil,soil temperature,,,,Station,°C,2015,2020,,csv,TRUE,TRUE,,,,,
climate_environment,cdc,observations_germany,climate_urban,recent,hourly,sunshine,sun,,sum,,Station,min,2015,2020,,csv,TRUE,TRUE,,,,,
climate_environment,cdc,observations_germany,climate_urban,recent,hourly,wind,wind,,,,Station,collection,2015,2020,,csv,TRUE,TRUE,,,,,
climate_environment,cdc,grids_europe,MIKLIP_DECREG,v001 or v002,daily,temperature air,air temperature,,max,,"Grid, Germany",°C,2001,2010,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_europe,MIKLIP_DECREG,v001 or v002,daily,temperature air,air temperature,,mean,,"Grid, Germany",°C,2001,2010,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_europe,MIKLIP_DECREG,v001 or v002,daily,temperature air,air temperature,,min,,"Grid, Germany",°C,2001,2010,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_europe,MIKLIP_DECREG,v001 or v002,daily,wind,wind,,,,"Grid, Germany",m/s,2001,2010,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_europe,MIKLIP_DECREG,v001 or v002,monthly,temperature air,air temperature,,max,,"Grid, Germany",°C,2001,2010,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_europe,MIKLIP_DECREG,v001 or v002,monthly,temperature air,air temperature,,mean,,"Grid, Germany",°C,2001,2010,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_europe,MIKLIP_DECREG,v001 or v002,monthly,temperature air,air temperature,,min,,"Grid, Germany",°C,2001,2010,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_europe,MIKLIP_DECREG,v001 or v002,monthly,clouds,cloud cover,,,,"Grid, Germany",%,2001,2010,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,grids_europe,MIKLIP_DECREG,v001 or v002,monthly,wind,wind,,,,"Grid, Germany",m/s,2001,2010,,nc,TRUE,TRUE,,,,,
climate_environment,cdc,derived_germany,,,daily,collection,soil,,,,Station,collection,1991,2020,,csv,TRUE,TRUE,,,TRUE,,
climate_environment,cdc,derived_germany,,,monthly,collection,soil,,,,Station,collection,1991,2020,,csv,TRUE,TRUE,,,TRUE,,
climate_environment,cdc,derived_germany,,,multi-annual,collection,soil,,,,Station,collection,1991,2010,,csv,TRUE,TRUE,,,,,
climate_environment,cdc,derived_germany,,,daily,days - bad weather,bad weather days,,,,Station,,1996,2020,,csv,,,,,TRUE,,
climate_environment,cdc,derived_germany,,,monthly,days - bad weather,bad weather days,,,,Station,,1996,2020,,csv,,,,,TRUE,,
climate_environment,cdc,derived_germany,,,multi-annual,days - bad weather,bad weather days,,,,Station,,1996,2020,,csv,,,,,TRUE,,
climate_environment,cdc,derived_germany,,,daily,days - heating degree,heating degree days,,,,Station,,2010,2020,,csv,,,,,TRUE,,
climate_environment,cdc,derived_germany,,,monthly,days - heating degree,heating degree days,,,,Station,,2010,2020,,csv,,,,,TRUE,,
climate_environment,cdc,derived_germany,,,multi-annual,days - heating degree,heating degree days,,,,Station,,2010,2020,,csv,,,,,TRUE,,
climate_environment,misc,Project_GUAMO,,,,,,,,,"Grid, Germany",land use,2012,2012,,,TRUE,TRUE,https://opendata.dwd.de/climate_environment/misc/Project_GUAMO/,,,,
climate_environment,health,alerts,,,,bioweather,bio weather (perceived weather),,,,Region,feeling,,,TRUE,json,,TRUE,https://opendata.dwd.de/climate_environment/health/alerts/biowetter.json,,,,
climate_environment,health,alerts,,,,thermal danger,thermal danger (gt),,,,Region,danger level,,,TRUE,json,,TRUE,https://opendata.dwd.de/climate_environment/health/alerts/gt.json,,,,
climate_environment,health,alerts,,,,pollen,pollen (s31fg),,,,Region,danger level,,,TRUE,json,,TRUE,https://opendata.dwd.de/climate_environment/health/alerts/s31fg.json,,,,
climate_environment,health,alerts,,,,uv level,uv level (uvi),,,,Region,danger level,,,TRUE,json,,TRUE,https://opendata.dwd.de/climate_environment/health/alerts/uvi.json,,,,
climate_environment,health,forecasts,,,,,,,,,"Grid, Germany",,,,TRUE,bin,,TRUE,,,,,
